;Consumption
2018-03-13 15:00:00;142796.0
2018-03-13 16:00:00;145095.0
2018-03-13 17:00:00;146298.0
2018-03-13 18:00:00;148648.0
2018-03-13 19:00:00;148355.0
2018-03-13 20:00:00;146131.0
2018-03-13 21:00:00;135526.0
2018-03-13 22:00:00;120461.0
2018-03-13 23:00:00;108039.0
2018-03-14 00:00:00;104724.0
2018-03-14 01:00:00;97809.0
2018-03-14 02:00:00;104307.0
2018-03-14 03:00:00;108629.0
2018-03-14 04:00:00;120029.0
2018-03-14 05:00:00;149949.0
2018-03-14 06:00:00;172828.0
2018-03-14 07:00:00;162086.0
2018-03-14 08:00:00;137824.0
2018-03-14 09:00:00;131537.0
2018-03-14 10:00:00;134840.0
2018-03-14 11:00:00;128796.0
2018-03-14 12:00:00;123601.0
2018-03-14 13:00:00;115318.0
2018-03-14 14:00:00;123470.0
2018-03-14 15:00:00;141314.0
2018-03-14 16:00:00;139458.0
2018-03-14 17:00:00;137610.0
2018-03-14 18:00:00;146518.0
2018-03-14 19:00:00;158896.0
2018-03-14 20:00:00;149029.0
2018-03-14 21:00:00;135843.0
2018-03-14 22:00:00;120131.0
2018-03-14 23:00:00;104025.0
2018-03-15 00:00:00;102227.0
2018-03-15 01:00:00;104591.0
2018-03-15 02:00:00;106517.0
2018-03-15 03:00:00;112023.0
2018-03-15 04:00:00;128247.0
2018-03-15 05:00:00;155686.0
2018-03-15 06:00:00;190854.0
2018-03-15 07:00:00;189755.0
2018-03-15 08:00:00;185599.0
2018-03-15 09:00:00;164723.0
2018-03-15 10:00:00;151679.0
2018-03-15 11:00:00;150848.0
2018-03-15 12:00:00;151407.0
2018-03-15 13:00:00;148409.0
2018-03-15 14:00:00;150513.0
2018-03-15 15:00:00;151028.0
2018-03-15 16:00:00;162160.0
2018-03-15 17:00:00;164768.0
2018-03-15 18:00:00;167142.0
2018-03-15 19:00:00;169337.0
2018-03-15 20:00:00;165438.0
2018-03-15 21:00:00;158462.0
2018-03-15 22:00:00;139732.0
2018-03-15 23:00:00;124678.0
2018-03-16 00:00:00;117730.0
2018-03-16 01:00:00;115825.0
2018-03-16 02:00:00;117643.0
2018-03-16 03:00:00;121567.0
2018-03-16 04:00:00;135102.0
2018-03-16 05:00:00;167784.0
2018-03-16 06:00:00;201198.0
2018-03-16 07:00:00;200508.0
2018-03-16 08:00:00;183964.0
2018-03-16 09:00:00;157554.0
2018-03-16 10:00:00;144453.0
2018-03-16 11:00:00;135485.0
2018-03-16 12:00:00;145812.0
2018-03-16 13:00:00;170719.0
2018-03-16 14:00:00;153954.0
2018-03-16 15:00:00;160323.0
2018-03-16 16:00:00;183097.0
2018-03-16 17:00:00;151457.0
2018-03-16 18:00:00;156347.0
2018-03-16 19:00:00;160041.0
2018-03-16 20:00:00;156151.0
2018-03-16 21:00:00;149049.0
2018-03-16 22:00:00;137703.0
2018-03-16 23:00:00;120480.0
2018-03-17 00:00:00;112884.0
2018-03-17 01:00:00;111888.0
2018-03-17 02:00:00;127486.0
2018-03-17 03:00:00;114192.0
2018-03-17 04:00:00;122624.0
2018-03-17 05:00:00;147872.0
2018-03-17 06:00:00;181709.0
2018-03-17 07:00:00;184528.0
2018-03-17 08:00:00;180087.0
2018-03-17 09:00:00;173720.0
2018-03-17 10:00:00;169524.0
2018-03-17 11:00:00;166770.0
2018-03-17 12:00:00;163066.0
2018-03-17 13:00:00;163275.0
2018-03-17 14:00:00;163144.0
2018-03-17 15:00:00;161221.0
2018-03-17 16:00:00;172582.0
2018-03-17 17:00:00;178317.0
2018-03-17 18:00:00;181471.0
2018-03-17 19:00:00;184533.0
2018-03-17 20:00:00;184861.0
2018-03-17 21:00:00;175654.0
2018-03-17 22:00:00;160637.0
2018-03-17 23:00:00;147601.0
2018-03-18 00:00:00;144391.0
2018-03-18 01:00:00;143519.0
2018-03-18 02:00:00;144856.0
2018-03-18 03:00:00;148175.0
2018-03-18 04:00:00;157211.0
2018-03-18 05:00:00;175572.0
2018-03-18 06:00:00;201269.0
2018-03-18 07:00:00;215503.0
2018-03-18 08:00:00;220671.0
2018-03-18 09:00:00;221257.0
2018-03-18 10:00:00;223393.0
2018-03-18 11:00:00;217874.0
2018-03-18 12:00:00;217924.0
2018-03-18 13:00:00;212171.0
2018-03-18 14:00:00;210606.0
2018-03-18 15:00:00;214369.0
2018-03-18 16:00:00;223769.0
2018-03-18 17:00:00;232464.0
2018-03-18 18:00:00;238401.0
2018-03-18 19:00:00;239013.0
2018-03-18 20:00:00;235411.0
2018-03-18 21:00:00;225345.0
2018-03-18 22:00:00;209698.0
2018-03-18 23:00:00;189358.0
2018-03-19 00:00:00;180620.0
2018-03-19 01:00:00;179132.0
2018-03-19 02:00:00;185983.0
2018-03-19 03:00:00;186129.0
2018-03-19 04:00:00;195637.0
2018-03-19 05:00:00;222488.0
2018-03-19 06:00:00;243954.0
2018-03-19 07:00:00;252836.0
2018-03-19 08:00:00;250454.0
2018-03-19 09:00:00;241208.0
2018-03-19 10:00:00;237974.0
2018-03-19 11:00:00;229856.0
2018-03-19 12:00:00;220290.0
2018-03-19 13:00:00;215604.0
2018-03-19 14:00:00;216410.0
2018-03-19 15:00:00;221890.0
2018-03-19 16:00:00;230012.0
2018-03-19 17:00:00;244950.0
2018-03-19 18:00:00;239398.405
2018-03-19 19:00:00;236484.055
2018-03-19 20:00:00;242170.205
2018-03-19 21:00:00;245841.0
2018-03-19 22:00:00;226243.0
2018-03-19 23:00:00;208748.0
2018-03-20 00:00:00;201223.0
2018-03-20 01:00:00;200134.0
2018-03-20 02:00:00;204236.0
2018-03-20 03:00:00;211796.0
2018-03-20 04:00:00;228126.0
2018-03-20 05:00:00;244972.59
2018-03-20 06:00:00;258516.605
2018-03-20 07:00:00;259657.5
2018-03-20 08:00:00;252254.81
2018-03-20 09:00:00;252210.63
2018-03-20 10:00:00;246958.0
2018-03-20 11:00:00;232861.0
2018-03-20 12:00:00;232321.0
2018-03-20 13:00:00;233724.0
2018-03-20 14:00:00;243607.0
2018-03-20 15:00:00;239489.0
2018-03-20 16:00:00;243436.0
2018-03-20 17:00:00;254096.0
2018-03-20 18:00:00;260226.0
2018-03-20 19:00:00;253026.42
2018-03-20 20:00:00;254177.0
2018-03-20 21:00:00;236104.0
2018-03-20 22:00:00;212929.0
2018-03-20 23:00:00;186037.0
2018-03-21 00:00:00;183754.0
2018-03-21 01:00:00;182476.0
2018-03-21 02:00:00;190186.0
2018-03-21 03:00:00;195853.0
2018-03-21 04:00:00;214693.0
2018-03-21 05:00:00;252267.0
2018-03-21 06:00:00;255072.71
2018-03-21 07:00:00;255496.7
2018-03-21 08:00:00;256404.74
2018-03-21 09:00:00;230602.0
2018-03-21 10:00:00;211744.0
2018-03-21 11:00:00;202732.0
2018-03-21 12:00:00;197499.0
2018-03-21 13:00:00;189978.0
2018-03-21 14:00:00;185526.0
2018-03-21 15:00:00;183648.0
2018-03-21 16:00:00;195995.0
