;predicted_mean
2019-07-01 00:00:00;13612.675274037669
2019-07-01 01:00:00;12336.189414748631
2019-07-01 02:00:00;12061.922309817284
2019-07-01 03:00:00;12255.932788901999
2019-07-01 04:00:00;15576.670131236595
2019-07-01 05:00:00;21420.27054542464
2019-07-01 06:00:00;26084.409598889535
2019-07-01 07:00:00;27838.110652355987
2019-07-01 08:00:00;28547.455150151625
2019-07-01 09:00:00;29960.851581562565
2019-07-01 10:00:00;27540.23347250103
2019-07-01 11:00:00;26059.161223064308
2019-07-01 12:00:00;24328.679510791837
2019-07-01 13:00:00;22021.154226651288
2019-07-01 14:00:00;20311.609316187092
2019-07-01 15:00:00;20165.84982933439
2019-07-01 16:00:00;22077.7452660858
2019-07-01 17:00:00;24314.355338845962
2019-07-01 18:00:00;25788.29864241089
2019-07-01 19:00:00;26565.24477645653
2019-07-01 20:00:00;26507.4809411475
2019-07-01 21:00:00;26219.304166694194
2019-07-01 22:00:00;21454.24793181593
2019-07-01 23:00:00;14988.951643034918
